PARTICLE_SIMULATION_DATA_2D
NumBalls: 50
10 660.865 69.6623
11 116.473 446.07
12 555.709 545.61
13 649.016 613.492
14 580.277 116.758
15 796.887 117.767
16 961.422 212.279
17 799.606 776.202
18 549.008 442.504
19 190.389 319.445
20 695.049 90.8821
21 418.117 789.915
22 627.424 211.12
23 605.146 563.44
24 778.892 533.262
25 45.4554 85.3799
26 487.019 139.478
27 537.17 350.077
28 82.1921 663.711
29 943.595 757.937
30 311.143 774.207
31 613.884 789.812
32 591.508 57.454
33 55.6879 665.492
34 713.328 532.477
35 835.497 94.8935
36 166.401 609.437
37 111.13 27.2397
38 769.261 577.758
39 469.954 543.01
40 845.727 562.207
41 393.391 566.327
42 498.813 164.293
43 505.445 364.512
44 861.641 159.208
45 925.893 579.648
46 973.949 401.651
47 700.171 667.491
48 445.573 306.1
49 767.83 620.331
Step 9 0.1
0 266.078 534.254
1 683.991 14.9211
2 628.906 276.146
3 790.633 261.57
4 238.809 695.191
5 153.404 364.252
6 927.854 163.004
7 658.914 793.235
8 165.395 258.981
9 181.234 348.505
10 665.024 71.5378
11 118.865 447.869
12 554.398 549.498
13 644.925 609.685
14 578.82 119.564
15 793.735 121.475
16 965.28 210.919
17 799.999 772.69
18 551.924 438.039
19 189.311 316.846
20 697.17 95.7413
21 414 793.139
22 623.361 215.67
23 601.324 564.347
24 781.056 533.818
25 46.9228 89.913
26 489.754 141.059
27 533.597 350.754
28 83.4507 665.962
29 939.501 761.141
30 309.567 777.422
31 617.618 787.969
32 590.97 55.7298
33 50.1924 663.32
34 717.058 528.127
35 834.864 97.106
36 163.814 606.281
37 114.713 29.8257
38 772.887 581.882
39 466.534 540.694
40 843.594 557.548
41 393.942 568.312
42 494.56 164.805
43 503.39 368.319
44 861.767 161.831
45 930.829 575.013
46 977.96 404.459
47 696.694 663.54
48 445.584 309.262
49 767.205 616.452
Step 10 0.1
0 266.073 533.27
1 682.067 18.1818
2 626.812 278.547
3 793.667 266.166
4 239.962 694.929
5 155.551 363.607
6 936.713 165.358
7 659.722 796.584
8 169.269 257.634
9 182.186 349.184
10 669.182 73.4133
11 121.258 449.667
12 553.088 553.387
13 640.835 605.878
14 577.364 122.37
15 790.583 125.184
16 969.139 209.559
17 800.392 769.178
18 554.84 433.574
19 188.233 314.246
20 699.291 100.6
21 409.883 789.434
22 619.299 220.219
23 597.502 565.253
24 783.22 534.373
25 48.3903 94.4461
26 492.488 142.639
27 530.024 351.431
28 84.7093 668.212
29 935.406 764.345
30 307.991 780.638
31 621.352 786.125
32 590.431 54.0056
33 44.697 661.148
34 720.788 523.777
35 834.232 99.3185
36 161.226 603.125
37 118.296 32.4116
38 776.514 586.007
39 463.115 538.378
40 841.461 552.889
41 394.493 570.297
42 490.307 165.317
43 501.334 372.126
44 861.892 164.453
45 935.766 570.379
46 981.971 407.267
47 693.217 659.59
48 445.594 312.424
49 766.579 612.574
Step 11 0.1
0 266.068 532.286
1 680.143 21.4425
2 624.719 280.949
3 796.701 270.762
4 241.114 694.668
5 157.697 362.962
6 945.572 167.711
7 660.531 796.91
8 173.143 256.287
9 183.138 349.864
10 673.341 75.2888
11 123.65 451.466
12 551.778 557.276
13 636.744 602.071
14 575.908 125.175
15 787.431 128.892
16 972.997 208.198
17 800.785 765.666
18 557.757 429.109
19 187.155 311.647
20 701.413 105.46
21 405.767 785.73
22 615.236 224.769
23 593.68 566.16
24 785.384 534.928
25 49.8577 98.9791
26 495.223 144.22
27 526.451 352.108
28 85.9679 670.463
29 931.312 767.549
30 306.416 783.854
31 625.086 784.282
32 589.892 52.2814
33 39.2016 658.976
34 724.517 519.427
35 833.6 101.531
36 158.639 599.969
37 121.878 34.9975
38 780.14 590.131
39 459.695 536.062
40 839.327 548.23
41 395.043 572.282
42 486.054 165.83
43 499.279 375.933
44 862.018 167.076
45 940.703 565.744
46 985.983 410.075
47 689.741 655.639
48 445.605 315.586
49 765.954 608.695
Step 12 0.1
0 266.063 531.302
1 678.219 24.7032
2 622.625 283.35
3 799.734 275.358
4 242.267 694.407
5 159.844 362.317
6 954.431 170.065
7 661.339 793.561
8 177.017 254.94
9 184.089 350.544
10 677.499 77.1643
11 126.043 453.265
12 550.468 561.164
13 632.654 598.263
14 574.452 127.981
15 784.279 132.6
16 976.856 206.838
17 801.179 762.155
18 560.673 424.644
19 186.077 309.047
20 703.534 110.319
21 401.65 782.026
22 611.174 229.318
23 589.859 567.066
24 787.548 535.483
25 51.3252 103.512
26 497.957 145.8
27 522.878 352.785
28 87.2264 672.714
29 927.218 770.753
30 304.84 787.07
31 628.82 782.438
32 589.353 50.5573
33 33.7062 656.803
34 728.247 515.077
35 832.968 103.743
36 156.051 596.812
37 125.461 37.5834
38 783.767 594.255
39 456.276 533.746
40 837.194 543.571
41 395.594 574.268
42 481.8 166.342
43 497.224 379.74
44 862.144 169.698
45 945.639 561.11
46 989.994 412.883
47 686.264 651.688
48 445.616 318.748
49 765.329 604.817
Step 13 0.1
0 266.058 530.318
1 676.295 27.964
2 620.531 285.751
3 802.768 279.954
4 243.419 694.146
5 161.99 361.673
6 963.29 172.419
7 662.147 790.212
8 180.891 253.593
9 185.041 351.224
10 681.658 79.0398
11 128.435 455.064
12 549.157 565.053
13 628.563 594.456
14 572.996 130.787
15 781.127 136.308
16 980.714 205.478
17 801.572 758.643
18 563.59 420.179
19 184.999 306.448
20 705.656 115.178
21 397.533 778.321
22 607.111 233.867
23 586.037 567.973
24 789.712 536.038
25 52.7926 108.045
26 500.691 147.381
27 519.305 353.462
28 88.485 674.964
29 923.123 773.957
30 303.264 790.286
31 632.555 780.595
32 588.815 48.8331
33 28.2107 654.631
34 731.977 510.727
35 832.336 105.956
36 153.464 593.656
37 129.043 40.1694
38 787.394 598.379
39 452.856 531.43
40 835.061 538.913
41 396.145 576.253
42 477.547 166.854
43 495.168 383.547
44 862.27 172.321
45 950.576 556.475
46 994.005 415.691
47 682.788 647.738
48 445.627 321.91
49 764.704 600.939
Step 14 0.1
0 266.052 529.334
1 674.371 31.2247
2 618.438 288.152
3 805.802 284.55
4 244.572 693.884
5 164.137 361.028
6 972.148 174.772
7 662.956 786.864
8 184.764 252.246
9 185.993 351.903
10 685.816 80.9153
11 130.828 456.862
12 547.847 568.942
13 624.472 590.649
14 571.54 133.592
15 777.974 140.016
16 984.573 204.118
17 801.965 755.131
18 566.506 415.714
19 183.921 303.849
20 707.777 120.037
21 393.416 774.617
22 603.049 238.417
23 582.215 568.879
24 791.876 536.593
25 54.26 112.578
26 503.426 148.962
27 515.731 354.139
28 89.7436 677.215
29 919.029 777.161
30 301.689 791.247
31 636.289 778.751
