PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
Ball_ Red 10
NumSteps: 2001
Step 0 0.1
1 33.8119 119.611 -85.716
2 -32.6452 -82.1996 -66.4534
3 123.069 -145.138 -149.294
4 -125.109 -147.224 95.7217
5 30.2625 -133.362 -104.693
6 -85.2095 -97.7332 149.054
7 57.1906 -126.416 51.609
8 -90.5215 147.115 -24.1374
9 -76.1684 -59.1991 136.955
10 10.9732 62.8915 76.6772
Step 33 0.1
0 -9.04554e-05 -0.00465559 0.00419823
1 33.91 119.497 -85.6145
2 -32.5209 -82.2166 -66.5256
3 123.139 -145.115 -149.346
4 -125.204 -147.181 95.6909
5 30.3307 -133.449 -104.573
6 -85.1369 -97.6324 149.167
7 57.1774 -126.293 51.5611
8 -90.3654 147.192 -24.2758
9 -76.005 -59.1089 136.881
10 10.855 62.8514 76.5309
Step 34 0.1
0 -9.34908e-05 -0.00493233 0.00445794
1 34.0078 119.381 -85.5123
2 -32.3958 -82.2318 -66.5964
3 123.209 -145.092 -149.399
4 -125.3 -147.137 95.6598
5 30.3987 -133.536 -104.452
6 -85.0639 -97.5312 149.279
7 57.1637 -126.169 51.5128
8 -90.2088 147.269 -24.4141
9 -75.8411 -59.0183 136.806
10 10.7364 62.8094 76.3822
Step 35 0.1
0 -9.64052e-05 -0.00521671 0.0047258
1 34.1053 119.265 -85.4094
2 -32.27 -82.2452 -66.6657
3 123.278 -145.069 -149.451
4 -125.395 -147.092 95.6284
5 30.4666 -133.621 -104.33
6 -84.9906 -97.4296 149.39
7 57.1494 -126.044 51.4639
8 -90.0517 147.344 -24.5522
9 -75.6767 -58.9275 136.73
10 10.6175 62.7655 76.2312
Step 36 0.1
0 -9.91873e-05 -0.0055087 0.00500185
1 34.2025 119.147 -85.3056
2 -32.1435 -82.2567 -66.7335
3 123.347 -145.046 -149.503
4 -125.49 -147.048 95.5967
5 30.5343 -133.706 -104.208
6 -84.917 -97.3276 149.501
7 57.1346 -125.918 51.4146
8 -89.894 147.418 -24.6902
9 -75.5118 -58.8363 136.654
10 10.4983 62.7196 76.0779
Step 37 0.1
0 -0.000101826 -0.00580826 0.00528614
1 34.2994 119.028 -85.2012
2 -32.0162 -82.2665 -66.7999
3 123.416 -145.022 -149.555
4 -125.584 -147.002 95.5648
5 30.6018 -133.79 -104.086
6 -84.843 -97.2252 149.612
7 57.1193 -125.791 51.3648
8 -89.7358 147.492 -24.8281
9 -75.3465 -58.7447 136.576
10 10.3788 62.6718 75.9222
Step 38 0.1
0 -0.000104309 -0.00611537 0.00557869
1 34.396 118.908 -85.0959
2 -31.8882 -82.2744 -66.8647
3 123.485 -144.998 -149.606
4 -125.678 -146.957 95.5326
5 30.6691 -133.873 -103.962
6 -84.7687 -97.1224 149.721
7 57.1034 -125.662 51.3145
8 -89.5771 147.565 -24.9658
9 -75.1806 -58.6529 136.498
