PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_1 Black 10
Ball_2 Red 3
Ball_3 Red 3
Ball_4 Red 3
Ball_5 Red 3
Ball_6 Red 3
Ball_7 Red 3
Ball_8 Red 3
Ball_9 Red 3
Ball_10 Red 3
Ball_11 Red 3
NumSteps: 201
Step 0 0.1
Step 33 0.1
0 4.46483 5.28932 6.04369
1 -4159.33 -3576.67 -3480.21
2 60.114 84.4227 -118.561
3 -0.303459 79.5415 -44.0925
4 35.8633 31.6682 42.7262
5 34.4405 -48.9364 0.557348
6 -144.761 -227.654 347.794
7 -19.5366 36.2548 95.4066
8 72.853 119.452 13.6637
9 255.182 55.0248 -262.534
10 -113.872 12.9477 49.4459
Step 34 0.1
0 4.61153 5.49809 6.25505
1 -4302.83 -3700.07 -3600.28
2 58.4527 82.367 -116.632
3 -2.47769 74.7845 -41.1014
4 32.0945 25.1332 37.9916
5 30.7462 -42.8075 4.38831
6 -163.352 -256.829 391.34
7 -17.6315 33.803 91.7096
8 69.384 117.897 13.2294
9 271.724 58.7438 -279.945
10 -110.888 11.4706 46.7471
Step 35 0.1
0 4.75989 5.70794 6.46931
1 -4446.32 -3823.48 -3720.34
2 56.7473 80.2485 -114.601
3 -4.61523 69.6789 -37.8717
4 27.4951 18.0068 32.3017
5 26.5789 -35.8032 8.2539
6 -181.939 -285.998 434.877
7 -15.6421 31.2446 87.6893
8 65.8252 116.187 12.7852
9 288.252 62.4603 -297.341
10 -107.714 9.98418 43.9826
Step 36 0.1
0 4.91107 5.9187 6.68789
1 -4589.82 -3946.88 -3840.41
2 54.9965 78.0654 -112.465
3 -6.69328 64.1744 -34.3647
4 21.4958 10.1245 25.0251
5 21.7776 -27.591 12.069
6 -200.522 -315.16 478.406
7 -13.5611 28.5717 83.3039
8 62.1745 114.31 12.3314
9 304.769 66.1744 -314.725
10 -104.335 8.4906 41.1511
Step 37 0.1
0 5.06846 6.12947 6.91469
1 -4733.31 -4070.29 -3960.47
2 53.199 75.8151 -110.217
3 -8.67774 58.2047 -30.5291
4 12.3404 1.44096 14.2624
5 16.0458 -17.527 15.5895
6 -219.103 -344.319 521.928
7 -11.3791 25.7752 78.4996
8 58.4297 112.256 11.8681
9 321.276 69.8864 -332.098
10 -100.735 6.99237 38.2511
Step 38 0.1
0 5.25306 6.31991 7.17144
1 -4876.81 -4193.69 -4080.54
2 51.3532 73.4953 -107.852
3 -10.515 51.6802 -26.2937
4 -11.7292 2.36235 -11.5681
5 8.72385 -4.02879 17.8571
6 -237.681 -373.474 565.445
7 -9.08448 22.8441 73.2041
8 54.5883 110.011 11.3958
9 337.773 73.5965 -349.46
10 -96.8969 5.49271 35.2814
Step 39 0.1
0 5.43646 6.49596 7.44114
1 -5020.31 -4317.09 -4200.61
2 49.4575 71.1032 -105.362
3 -12.1154 44.4744 -21.5552
4 -32.759 3.9936 -34.0417
5 -1.52342 18.184 11.13
6 -256.257 -402.625 608.957
7 -6.66212 19.7653 67.3173
8 50.6481 107.559 10.9147
9 354.261 77.3049 -366.813
10 -92.7976 3.9957 32.2409
Step 40 0.1
0 5.60369 6.6973 7.71988
1 -5163.8 -4440.5 -4320.67
2 47.5099 68.6356 -102.739
3 -13.3164 36.401 -16.1539
4 -53.1494 5.66947 -55.8195
5 -4.31586 27.8756 0.452835
6 -274.832 -431.774 652.465
7 -4.09153 16.5238 60.6917
8 46.6065 104.881 10.4257
9 370.742 81.0118 -384.158
10 -88.4117 2.50665 29.1286
Step 41 0.1
0 5.76441 6.90982 7.99954
1 -5307.3 -4563.9 -4440.74
2 45.5086 66.0892 -99.9753
3 -13.7751 27.1645 -9.81079
4 -73.2658 7.35138 -77.3004
5 -5.08705 33.2449 -8.74434
6 -293.405 -460.921 695.97
7 -1.34425 13.1032 53.0942
8 42.4615 101.957 9.92954
9 387.215 84.7173 -401.496
10 -83.7085 1.03248 25.9445
Step 42 0.1
0 5.91931 7.1305 8.28218
1 -5450.79 -4687.31 -4560.8
2 43.4514 63.4604 -97.0602
3 -12.608 16.3097 -2.01329
4 -93.2298 9.03305 -98.6166
5 -4.98675 36.401 -16.5493
6 -311.976 -490.065 739.471
7 1.62028 9.49362 44.11
8 38.2108 98.7605 9.42744
9 403.683 88.4214 -418.826
10 -78.6507 -0.417638 22.6895
Step 43 0.1
0 6.06451 7.35855 8.57204
1 -5594.29 -4810.71 -4680.87
2 41.3358 60.7449 -93.9823
3 -6.92675 3.22594 8.29285
4 -113.096 10.7132 -119.828
5 -4.37288 38.1691 -23.1751
6 -330.547 -519.208 782.97
7 4.85621 5.73533 32.849
8 33.8529 95.2613 8.92098
9 420.144 92.1243 -436.15
10 -73.1915 -1.83127 19.3663
Step 44 0.1
0 6.18469 7.58007 8.889
1 -5737.78 -4934.11 -4800.94
2 39.1594 57.9381 -90.7281
3 14.1366 -4.96302 18.9487
4 -132.895 12.3916 -140.966
5 -3.42469 38.9501 -28.7824
6 -349.116 -548.349 826.467
7 8.33943 2.31457 16.5434
8 29.3873 91.4221 8.41235
9 436.599 95.8262 -453.468
10 -67.2722 -3.19113 15.9805
Step 45 0.1
0 6.35405 7.68583 9.36901
1 -5881.28 -5057.52 -4921
2 36.919 55.0347 -87.282
3 30.9488 -6.48405 24.3257
4 -152.645 14.0684 -162.052
5 -2.2433 38.9731 -33.4792
6 -367.684 -577.489 869.961
7 4.39816 17.0696 -26.2234
8 24.8147 87.1971 7.90466
9 453.05 99.5269 -470.781
10 -60.817 -4.47218 12.5428
Step 46 0.1
0 6.52464 7.79504 9.83604
1 -6024.77 -5180.92 -5041.07
2 34.6111 52.0281 -83.6248
3 45.5239 -6.71481 28.3389
4 -172.356 15.7438 -183.096
5 -0.885911 38.3639 -37.3389
6 -386.252 -606.627 913.454
7 0.57191 31.2718 -66.8606
8 20.139 82.5294 7.40228
9 469.496 103.227 -488.089
10 -53.7265 -5.63737 9.07303
Step 47 0.1
0 6.69532 7.9062 10.299
1 -6168.27 -5304.32 -5161.13
2 32.2259 48.9086 -79.7339
3 58.8583 -6.48301 31.7618
4 -192.037 17.418 -204.108
5 0.596058 37.2476 -40.4416
6 -404.819 -635.764 956.945
7 -3.21611 45.3426 -107.051
8 15.3694 77.3479 6.91303
9 485.938 106.926 -505.392
10 -45.8653 -6.6297 5.61085
Step 48 0.1
0 6.86519 8.01906 10.7588
1 -6311.77 -5427.73 -5281.2
2 29.7603 45.6725 -75.5926
3 71.3979 -6.03117 34.8564
4 -211.694 19.0911 -225.094
5 2.16944 35.7027 -42.8056
6 -423.385 -664.9 1000.43
7 -6.98434 59.354 -147.05
8 10.5237 71.5583 6.45008
9 502.375 110.624 -522.69
10 -37.0407 -7.35452 2.23264
Step 49 0.1
0 7.03332 8.13341 11.2153
1 -6455.26 -5551.13 -5401.26
2 27.216 42.3121 -71.1662
3 83.379 -5.45711 37.7414
4 -231.33 20.7633 -246.058
5 3.80945 33.7838 -44.4465
6 -441.951 -694.035 1043.92
7 -10.7429 73.3316 -186.943
8 5.63553 65.032 6.03385
9 518.809 114.321 -539.985
10 -26.9692 -7.64162 -0.905426
Step 50 0.1
0 7.19858 8.24878 11.6678
1 -6598.76 -5674.54 -5521.33
2 24.5891 38.8168 -66.4134
3 94.9426 -4.8083 40.4806
4 -250.949 22.4347 -267.005
5 5.49574 31.5339 -45.3691
6 -460.515 -723.169 1087.41
7 -14.4954 87.2876 -226.771
8 0.769979 57.589 5.69771
9 535.239 118.018 -557.275
10 -15.2275 -7.15251 -3.45045
Step 51 0.1
0 7.35945 8.36398 12.1141
1 -6742.25 -5797.94 -5641.4
2 21.8744 35.1738 -61.2821
3 106.181 -4.11068 43.1121
4 -270.553 24.1054 -287.935
5 7.21102 28.9883 -45.5671
6 -479.08 -752.302 1130.89
7 -18.2439 101.229 -266.554
8 -3.94182 48.9673 5.50041
9 551.665 121.713 -574.562
10 -1.25272 -5.12801 -4.49317
Step 52 0.1
0 7.51567 8.47589 12.5482
1 -6885.75 -5921.34 -5761.46
2 19.0653 31.3671 -55.703
3 117.156 -3.3797 45.6607
4 -290.145 25.7755 -308.853
5 8.94116 26.1784 -45.0238
6 -497.644 -781.435 1174.38
7 -21.9892 115.158 -306.304
8 -8.21564 38.7737 5.55472
9 568.089 125.409 -591.846
10 14.8287 0.199062 -1.47838
Step 53 0.1
0 7.67886 8.58325 12.9622
1 -7029.24 -6044.75 -5881.53
2 16.1518 27.3752 -49.578
3 127.915 -2.62511 48.1433
4 -309.726 27.445 -329.759
5 10.679 23.1389 -43.716
6 -516.207 -810.566 1217.86
7 -25.7323 129.08 -346.028
8 -11.371 26.4288 6.1005
9 584.509 129.103 -609.126
10 27.0536 9.89434 8.92769
Step 54 0.1
0 7.8536 8.69758 13.3672
1 -7172.74 -6168.15 -6001.59
2 13.1097 23.1548 -42.7509
3 138.491 -1.85336 50.572
4 -329.298 29.1141 -350.655
5 12.4477 19.9404 -41.6404
6 -534.77 -839.697 1261.34
7 -29.4735 142.995 -385.733
8 -11.614 11.3594 7.68941
9 600.927 132.797 -626.404
10 31.8252 19.0878 20.8808
Step 55 0.1
0 8.02466 8.818 13.7664
1 -7316.23 -6291.55 -6121.66
2 9.90148 18.2973 -34.9227
3 148.911 -1.06886 52.9559
4 -348.861 30.7827 -371.541
5 14.3028 17.3485 -38.9137
6 -553.333 -868.828 1304.82
7 -33.2133 156.904 -425.421
8 -5.02556 -4.642 11.2657
9 617.342 136.491 -643.678
10 33.0144 26.7296 31.7078
Step 56 0.1
0 8.18968 8.93158 14.1603
1 -7459.73 -6414.96 -6241.72
2 6.75622 13.1831 -25.9962
3 159.196 -0.274749 55.302
4 -368.416 32.4509 -392.42
5 15.8285 14.636 -34.9772
6 -571.895 -897.957 1348.3
7 -36.9518 170.809 -465.096
8 7.35246 -14.6719 15.9472
9 633.754 140.184 -660.95
10 32.5396 33.1786 41.338
Step 57 0.1
0 8.35651 9.03858 14.5485
1 -7603.22 -6538.36 -6361.79
2 3.69974 7.87853 -15.2637
3 169.362 0.526661 57.6156
4 -387.964 34.1188 -413.292
5 17.1276 11.7795 -29.8195
6 -590.457 -927.087 1391.78
7 -40.6893 184.71 -504.761
8 19.9206 -19.3685 20.2212
9 650.164 143.876 -678.22
10 31.1951 38.7607 49.9955
